Abies concolor
Acer saccharum
Aesculus glabra
Asimina triloba
Carya ovata
Catalpa speciosa
Celtis occidentalis
Chamaecyparis pisifera
Chamaecyparis thyoides
Cladrastis kentukea
Ginkgo biloba
Juglans nigra
Juniperus chinensis
Larix decidua
Larix gmelinii
Picea abies
Picea koyamae
Pinus nigra
Pinus ponderosa
Pinus resinosa
Pinus strobus
Platanus occidentalis
Quercus alba
Quercus bicolor
Quercus palustris
Quercus rubra
Robinia pseudoacacia
Taxodium distichum
Taxus canadensis
Thuja occidentalis
Tsuga canadensis
